,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
11,"['Rubenbros', 'Tryndamere']","['διοηγsοs', 'Ekko']","['Rowing Thunder', 'Lissandra']","['BOSTONˆGEORGE', 'Ezreal']","['eawoop', 'Swain']","['Veljoo', 'Singed']","['V9 Kitechu', 'Kindred']","['ARTICLE 44', 'Akshan']","['Lewite', 'Yasuo']","['Cømmited', 'Janna']",Victoire des Rouges
12,"['Camilles Futa', 'Camille']","['yCorny', 'Kindred']","['Jécrasetatëte', 'Akali']","['Lewite', 'Yasuo']","['KC Chef Dumas', 'Shaco']","['Mao Tse Lung', 'Mordekaiser']","['MichelLaCastagne', 'Viego']","['ARTICLE 44', 'Akshan']","['ZemsBond', 'Tristana']","['Ialreadygaveup', 'Swain']",Victoire des Bleus
13,"['KMR ainesfanboy', 'Irelia']","['botlanek1ngdom 2', 'Kayn']","['Annettyss', 'Ryze']","['Lewite', 'Yasuo']","['MyLife4Carry', 'Rakan']","['Gigagland', 'TahmKench']","['Wojtek Olszański', 'Sylas']","['xToBeLaurax', 'Seraphine']","['Symago', 'Jinx']","['Lux Enjoγer', 'Heimerdinger']",Victoire des Rouges
14,"['One suffers', 'Gangplank']","['Cleverex', 'Sejuani']","['Quelayerr', 'Yone']","['Jarrvis', 'Jhin']","['NPAULK', 'Nami']","['D3pRessiVe', 'Tryndamere']","['YaniYo', 'MonkeyKing']","['FF 15 BOT TRASH', 'Katarina']","['Lewite', 'Yasuo']","['Taranto Capitale', 'Rell']",Victoire des Rouges
15,"['sbvmneiys', 'Kayle']","['Myaud Flop ', 'Diana']","['Gotstav', 'Qiyana']","['TrauerspieI', 'Tristana']","['Roodoudou', 'Poppy']","['IXI IneptSelf', 'Jax']","['dlcodbs tkfkdgo', 'Singed']","['Lewite', 'Yasuo']","['Kohaí', 'Veigar']","['wHX', 'Senna']",Victoire des Rouges
16,"['LatrinaFyles56', 'Teemo']","['Crispwannabe', 'Khazix']","['Hàso', 'Vex']","['Lewite', 'Yasuo']","['washed up npc015', 'Nautilus']","['IXI IneptSelf', 'Akali']","['dlcodbs tkfkdgo', 'Kayn']","['sanerzgod', 'Galio']","['ALK DTB', 'Lucian']","['Belahzur', 'Nami']",Victoire des Rouges
17,"['frontier', 'Ornn']","['LC Heartfilia', 'Shaco']","['vjana', 'Varus']","['Platonas', 'Vayne']","['Sonak', 'Sona']","['cykelhuvud', 'Riven']","['WG Frazer', 'Diana']","['Robοt Bοy', 'Viktor']","['Lewite', 'Yasuo']","['LTP Hartz', 'Janna']",Victoire des Bleus
18,"['frontier', 'Ornn']","['Xiao Nai Gou', 'MasterYi']","['NuoNuo3o', 'Syndra']","['Lewite', 'Yasuo']","['Cóld Face', 'Lulu']","['PurpleeOnion', 'Gwen']","['Bouarim', 'Skarner']","['Cinctulus', 'Cassiopeia']","['papitosexbombom', 'Twitch']","['KìIlua', 'Yuumi']",Victoire des Rouges
19,"['LAG SchichtSalat', 'Vayne']","['Pscastinot', 'Zac']","['Khatarina', 'Katarina']","['Pekkaju', 'Draven']","['XDXDDDXDD', 'Rakan']","['gabbissimo', 'Camille']","['king fubie', 'Viego']","['Larison', 'Yone']","['Lewite', 'Yasuo']","['DieTrying', 'Senna']",Victoire des Bleus
20,"['Juif de Galilée', 'Velkoz']","['AsbyV1', 'Zed']","['UOL Sudifash', 'Graves']","['Lewite', 'Yasuo']","['NUC dahA', 'Rell']","['LAG SchichtSalat', 'Twitch']","['Dals', 'Udyr']","['END IT NOW', 'Tryndamere']","['God Usoppu', 'Vayne']","['LoudCleric', 'Rakan']",Victoire des Bleus
21,"['Kayn Ta Daronne', 'Fiora']","['creidot', 'Khazix']","['So interesting', 'Velkoz']","['Anbu Slayer', 'Caitlyn']","['Omnî', 'Heimerdinger']","['J3G', 'Garen']","['FavijTV', 'MasterYi']","['iWna2', 'Katarina']","['Lewite', 'Yasuo']","['Lulu Bot UwU', 'Lulu']",Victoire des Bleus
22,"['Rodr1gu3z', 'Sejuani']","['DIΑFORA ZOUGLAS', 'Ekko']","['IanMatador91', 'Zed']","['Clariitas', 'Kaisa']","['Rågnarök', 'Blitzcrank']","['BestTOFLOL', 'Renekton']","['Juntains', 'MasterYi']","['pocket pig', 'Singed']","['Lewite', 'Yasuo']","['Ranghannor', 'Alistar']",Victoire des Bleus
23,"['Dan Børge', 'Nasus']","['Cinctulus', 'Rumble']","['SaufenTralala', 'Vladimir']","['Lewite', 'Yasuo']","['PetitCornichonIV', 'Senna']","['Yang Wonda', 'KSante']","['Nico Jan', 'Ivern']","['cerna', 'Sylas']","['Eskα', 'MissFortune']","['ehatfaq', 'Maokai']",Victoire des Bleus
24,"['bazandt', 'Darius']","['Malik full 1V9', 'Teemo']","['Lonpo', 'Xerath']","['Kek Embassador', 'Twitch']","['Vxncenzo', 'Blitzcrank']","['Edwinar', 'Aatrox']","['Bigcityboy TML', 'Shyvana']","['DNAdiffsince2001', 'Zed']","['Lewite', 'Yasuo']","['Klangond', 'Janna']",Victoire des Rouges
25,"['RockyWS', 'Fiora']","['GAMMABURSTER', 'Graves']","['RE Curborn', 'Viktor']","['illunis', 'Kaisa']","['Ky5ek1FanBoy', 'Lulu']","['Error 4Ö4', 'Garen']","['Baxijava', 'Khazix']","['Wobbatron ', 'Syndra']","['Lewite', 'Yasuo']","['PROCCODIO', 'Bard']",Victoire des Rouges
26,"['HPU', 'Malphite']","['Scrat Ravellino', 'MasterYi']","['Legendary Rebørn', 'Akali']","['Lewite', 'Yasuo']","['ReckfuI RIP', 'Rakan']","['TheMythicSlayer', 'Vayne']","['Zacharias the ni', 'Volibear']","['ƒoussékis', 'Sylas']","['Yani Poonani', 'Caitlyn']","['GodLaw', 'Rell']",Victoire des Bleus
27,"['Exi1ed', 'Sett']","['root66', 'Ekko']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['teammaid', 'Zyra']","['Faker HAHAHAH', 'KSante']","['Jinja', 'Viego']","['bouncing2thebeat', 'Anivia']","['Vxncenzo', 'Caitlyn']","['Craay', 'Nami']",Victoire des Bleus
28,"['TFX Landmine', 'Ornn']","['TFX ADC', 'Zed']","['Dinodinobambino', 'Lux']","['AMA EVLISIN', 'Twitch']","['CEO of ardents', 'Lulu']","['Jocelin', 'Aatrox']","['MerlinlDjTx', 'Ekko']","['qfxnhfzkl', 'Kayle']","['Lewite', 'Tristana']","['wildlama123', 'Nami']",Victoire des Rouges
29,"['Nasashin', 'Udyr']","['dont cause harm', 'Vi']","['qfxnhfzkl', 'Kayle']","['Lewite', 'Yasuo']","['durimor', 'Ashe']","['Drowie', 'Vayne']","['NBE Leechen', 'LeeSin']","['Neron', 'Syndra']","['ADC on a leash', 'Caitlyn']","['I Sit Daddy', 'Senna']",Victoire des Bleus
30,"['AgameK Stitch', 'Nasus']","['Team BAGARRE', 'LeeSin']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['TernencelTf', 'Blitzcrank']","['Bard likes cat', 'Ornn']","['MerlinlDjTx', 'Ekko']","['L9 uwu slave', 'Kassadin']","['Pfau Tobia', 'Caitlyn']","['ToxidStyle ', 'Ashe']",Victoire des Bleus
31,"['hmedonmx', 'Aatrox']","['KacperekxvNygger', 'Mordekaiser']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['YouCanDoAnything', 'Senna']","['Afk Junglïng', 'Jax']","['artsi', 'Graves']","['Cimcim44', 'Varus']","['FeverTree', 'Ashe']","['Maxtoaster', 'Nautilus']",Victoire des Bleus
32,"['Wanelielli', 'Fiora']","['OnlyGraves94', 'Graves']","['qfxnhfzkl', 'Kayle']","['Lewite', 'Yasuo']","['REL SUP', 'Rakan']","['MOTOPOMPA', 'Jax']","['Changpeng Ζhao', 'Kayn']","['Figlio di Dio', 'Rumble']","['Quilorra', 'Twitch']","['LE PÃNTSU', 'Karma']",Victoire des Rouges
33,"['Straphix', 'KSante']","['1v9 int machin', 'Diana']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['Jαγσυηέτ', 'Senna']","['Uny Mon BB', 'Ryze']","['ResetChampOTP', 'Rammus']","['7OT865', 'Zed']","['FeelTheLose', 'Varus']","['cute you', 'Karma']",Victoire des Bleus
34,"['Hater Boy', 'Irelia']","['Drakain', 'Kayn']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['Râu', 'Lulu']","['Linayz', 'Volibear']","['i need to mute ', 'Khazix']","['FeelOrd', 'Katarina']","['Atéhel', 'Seraphine']","['Starrage', 'Ashe']",Victoire des Bleus
35,"['i m so mükemmelI', 'Irelia']","['Qiaolakoey', 'Taliyah']","['alaba1', 'Zed']","['SyDe Snow', 'Jhin']","['Dimenz', 'Alistar']","['SYS Siebhhirn', 'Yorick']","['SYS LeBronze', 'JarvanIV']","['SkandalimBezirk', 'TwistedFate']","['Lewite', 'Yasuo']","['FRx Orion', 'Ashe']",Victoire des Bleus
36,"['Budget Wunder', 'Camille']","['MOV3 78', 'Graves']","['timmy nοok', 'Kassadin']","['DasGammelon', 'Sivir']","['FruLiar', 'Renata']","['HeinzKlaus', 'Gangplank']","['Abusek1ds', 'Rammus']","['Angeblich', 'Syndra']","['Lewite', 'Yasuo']","['fakülte teras', 'Nami']",Victoire des Bleus
37,"['Nil', 'Gragas']","['Deana', 'XinZhao']","['PeppaBif', 'Kassadin']","['Wawy', 'Jhin']","['fvthree', 'Taric']","['Deadly Creature', 'Rengar']","['Selfmade Babylon', 'Lillia']","['Darkrai', 'Pantheon']","['Lewite', 'Yasuo']","['N1 Daynas', 'Thresh']",Victoire des Bleus
38,"['Im76Julix', 'Malphite']","['Enycon', 'Shyvana']","['Lewite', 'Yasuo']","['Sub Enjοyer', 'Samira']","['Doske', 'FiddleSticks']","['ł M   R E Ð', 'Darius']","['Pocreevatch', 'Viego']","['SkyisOver', 'Orianna']","['Jusfex', 'Xayah']","['ztrneellb', 'Zilean']",Victoire des Rouges
39,"['7 Schläfer', 'Darius']","['GROßVERRAT', 'RekSai']","['Angry Kerzour', 'Gragas']","['ChaD Oden', 'Lucian']","['OswaldLeCrack', 'Maokai']","['Aκuma', 'Jax']","['Mid Pro', 'Diana']","['Lewite', 'Yasuo']","['C63 FULL TUBE', 'Jhin']","['Zilean is Broken', 'Nami']",Victoire des Bleus
40,"['LWJCPsU9H69', 'Poppy']","['SMOrc', 'Ekko']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['AKA FirstBlood', 'Swain']","['Kuedo', 'Sett']","['Eriq', 'Camille']","['JeePee22', 'Cassiopeia']","['ENDHUMANITY35', 'Caitlyn']","['RéySKR', 'Alistar']",Victoire des Rouges
41,"['DerhaarigeDruide', 'Darius']","['Evermus', 'Evelynn']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Señor D4n', 'Amumu']","['Xerry148', 'Gragas']","['aber egal', 'Zed']","['inse v2', 'Ziggs']","['Cocaïne ADC', 'Caitlyn']","['pyketruco', 'Soraka']",Victoire des Rouges
42,"['EJHAZARD', 'Aatrox']","['ouh', 'Nidalee']","['Lewite', 'Yasuo']","['meuh c la vache', 'Varus']","['Elunell', 'Soraka']","['Mehrio', 'Darius']","['passing clouds', 'Hecarim']","['Maltroy', 'Syndra']","['Loser syndrome', 'Ezreal']","['AS tyberzen', 'Thresh']",Victoire des Bleus
43,"['ANGSTANFALD', 'Jax']","['vittuvittu', 'Twitch']","['Vestalia', 'Anivia']","['BBuddha', 'Xayah']","['elettro94', 'Amumu']","['DrogWay', 'Renekton']","['DIIIEEE Two', 'Karthus']","['Lewite', 'Yasuo']","['C63S AMG', 'Draven']","['MISSÄ MUN MOMO', 'Renata']",Victoire des Rouges
44,"['TBW T0astBr0t', 'Riven']","['TBW Andy', 'Diana']","['Lewite', 'Yasuo']","['Aval Shamshir', 'Nilah']","['General Guppy', 'Bard']","['unrαvel', 'Jax']","['Requjo', 'Rengar']","['NEGATIVE WR OTP ', 'Ekko']","['AnotherNewii', 'Seraphine']","['raketbror', 'Heimerdinger']",Victoire des Bleus
45,"['Kokobengo', 'Shen']","['Malfono', 'Shyvana']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['JueSt ', 'Renata']","['Jesusmaa', 'Riven']","['ElTitoCuria', 'FiddleSticks']","['HugouWn', 'Viego']","['sads0ul', 'Vayne']","['Míchaś', 'Janna']",Victoire des Rouges
46,"['LordKerrie', 'Fiora']","['Jajob', 'Elise']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['AwerpiSs', 'Amumu']","['Lao Hei Zi', 'Warwick']","['Hemade', 'Graves']","['hi im gösu', 'Corki']","['HotADsixPack', 'Varus']","['Ariald', 'Nami']",Victoire des Rouges
47,"['Lewite', 'Yasuo']","['VapeRoald', 'LeeSin']","['Sylver93', 'Syndra']","['La Carotte Cuite', 'Lucian']","['bricelus', 'Nami']","['pAcê', 'Maokai']","['R4C1SM ROLEPLAY', 'Khazix']","['Proibhair', 'Irelia']","['Its Cliche', 'Jinx']","['BeleDelphineSimp', 'Amumu']",Victoire des Bleus
48,"['Lewite', 'Vladimir']","['Baxijava', 'Khazix']","['MadDante', 'Ekko']","['Its Cliche', 'Zeri']","['B0NHEUR', 'Nami']","['DashOverTheWall', 'Aatrox']","['Escapes', 'Graves']","['vibes too high', 'Karma']","['LOVEISNOMORE', 'Jinx']","['bLiiinnd', 'Lulu']",Victoire des Rouges
49,"['Kung Julio', 'Jax']","['furytail', 'Talon']","['Lewite', 'Yasuo']","['Wiluthosmo', 'Caitlyn']","['Liffix Master', 'Janna']","['MisaTenshi', 'Kayle']","['compIexdesign', 'MonkeyKing']","['rAtrr', 'Sylas']","['iflkjxry', 'Ashe']","['Snownose', 'Pyke']",Victoire des Bleus
50,"['TFX Landmine', 'Sion']","['Adennanicas', 'Lillia']","['Nedakkon', 'Syndra']","['ASTRO FIST ALL', 'Jhin']","['Main LeeSin 1v9', 'Ashe']","['xBatya', 'Akali']","['B14ck6ird', 'JarvanIV']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Dexamphetam', 'Yuumi']",Victoire des Rouges
51,"['Lewite', 'Vladimir']","['Plupi', 'Rammus']","['PantRose', 'Zoe']","['qfxnhfzkl', 'Twitch']","['Irosbert', 'Nami']","['trop waifu uwu', 'Riven']","['River TheLaw', 'Trundle']","['ACE Oblivion', 'Ahri']","['BL Yoshi', 'Kaisa']","['Fatihix', 'Zyra']",Victoire des Rouges
52,"['El españolizador', 'Jax']","['I came by', 'Graves']","['TFX Landmine', 'Zed']","['ASTRO FIST ALL', 'Jinx']","['xVenom Tyr', 'Blitzcrank']","['Lewite', 'Vladimir']","['Nestey sama', 'Kayn']","['Exodia Beyblade', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['nirdwm', 'Janna']",Victoire des Rouges
53,"['CallMeCarrý', 'KSante']","['DWJ COACH BTW', 'Jax']","['E KONFIDENT', 'Zoe']","['Just Kiinder', 'Jinx']","['OusênSama', 'Shaco']","['IanMata91', 'Illaoi']","['Lewite', 'Vi']","['sec im reloading', 'Anivia']","['qfxnhfzkl', 'Twitch']","['Uletamice', 'Ashe']",Victoire des Rouges
54,"['Graves Epstein', 'Gangplank']","['mrcleangaming', 'Elise']","['Guxojesena', 'Yone']","['Dirtb4g', 'Swain']","['Ally 4', 'Nami']","['Tianxi Bot', 'Ornn']","['Impregnate yummi', 'Hecarim']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['ukryty smok 997', 'Bard']",Victoire des Bleus
55,"['season 27', 'Singed']","['Öst', 'MasterYi']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Kørkypøusse', 'Blitzcrank']","['GRB Dingske3', 'Shen']","['mmmaybeee', 'Talon']","['ruanxiu', 'Nunu']","['Princesse Kaisa', 'Aphelios']","['Ghalaw', 'Janna']",Victoire des Rouges
56,"['Oen', 'Camille']","['Refrigerator', 'Rumble']","['Lewite', 'Yasuo']","['Osasco', 'Caitlyn']","['Ghalaw', 'Janna']","['DYQ', 'Riven']","['Ally 104', 'Poppy']","['Salty Pozzilla', 'Syndra']","['Arkanomix', 'Jhin']","['Grey Lynx', 'Yuumi']",Victoire des Bleus
57,"['SLeepordie', 'TahmKench']","['stellαr', 'Taliyah']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['SorAKA47 u', 'Soraka']","['llIIllIIlllIIII', 'Chogath']","['FIayed', 'Rengar']","['LGN Jerems', 'Cassiopeia']","['Jıgglypuff', 'Nilah']","['Kyorro', 'Pyke']",Victoire des Bleus
58,"['Reactive', 'Jax']","['šinneD', 'Nasus']","['prodajam otroke', 'Viktor']","['Cosmic Stone', 'Taliyah']","['Smol Ranni', 'Janna']","['Panzita', 'Malphite']","['Giivn', 'Nocturne']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['The Atticus', 'Maokai']",Victoire des Bleus
59,"['Ebeezuk', 'Camille']","['mUiMatthew', 'Hecarim']","['MATT EST HAUT', 'Syndra']","['SpicyXiaoLongXia', 'Kaisa']","['BIGBOSS DENIS', 'Pyke']","['K πeiωo', 'KSante']","['SirPlatinum', 'Ekko']","['Lewite', 'Vladimir']","['xxmarcxx', 'Lucian']","['Pałuch', 'Nami']",Victoire des Bleus
60,"['Finus', 'Gragas']","['dancewithme1', 'Lillia']","['M0rdredPendr4g0n', 'Zed']","['Makurisar', 'Samira']","['HüpferElias', 'Pyke']","['Lil Ick 77', 'Gwen']","['Vayne or bust', 'Elise']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['At Avrat Berat', 'Lulu']",Victoire des Bleus
61,"['Rid3', 'MonkeyKing']","['LP Night Killer', 'Diana']","['LeSemeurDeMort', 'Lux']","['LRF Gavroche', 'Sivir']","['LRF SpiritAnimal', 'Ashe']","['soubis', 'Sion']","['L9 EL LEYENDA', 'Ekko']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['GinTonicHunta', 'Pyke']",Victoire des Rouges
62,"['Top Nightmare', 'Nasus']","['Kanjoss', 'Khazix']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Luftkuss', 'Soraka']","['Djatala', 'Shaco']","['LRF Gavroche', 'Vi']","['weebuzan', 'Sylas']","['Reset And Run', 'Kaisa']","['LRF SpiritAnimal', 'Heimerdinger']",Victoire des Bleus
63,"['OFF CLIFF', 'Sett']","['HOLD GME COPIUM', 'LeeSin']","['RIÐÐ', 'Kassadin']","['Kaibai', 'Caitlyn']","['PullOfTheAbyss', 'Brand']","['XXXFIGHTERZXXX', 'Irelia']","['Fear of Women', 'Diana']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['alorador', 'Xerath']",Victoire des Rouges
64,"['Madriarch', 'Riven']","['Boby ficher', 'Talon']","['Lewite', 'Vladimir']","['qfxnhfzkl', 'Ezreal']","['emile92', 'Pyke']","['kog man the 2', 'Ryze']","['winbox64', 'Hecarim']","['IKnowYourDestiny', 'Twitch']","['Fiskestang', 'Ashe']","['A1enari', 'Nami']",Victoire des Bleus
65,"['Numînex', 'Fiora']","['die solo jng gap', 'Hecarim']","['Lil Meepp', 'Vladimir']","['wjx', 'Caitlyn']","['Hajime', 'Nami']","['Koala Boe', 'Tryndamere']","['LoLNoel', 'Diana']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Kaisa']","['Get Schnitzeled', 'Lux']",Victoire des Rouges
66,"['BraDiZz', 'KSante']","['elnachas', 'Nunu']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Vaksel', 'Renata']","['Paultastic', 'Chogath']","['Schmeck1', 'Ekko']","['Kaizooo', 'Yone']","['Big Yke', 'Lucian']","['çhill', 'Nami']",Victoire des Bleus
67,"['Hundter', 'Nasus']","['flibustier81', 'Trundle']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['SmokeyNaruto', 'Nautilus']","['ÐàręÐęvïÍ', 'KSante']","['Sétt Joéstar', 'Rammus']","['Mæk', 'Ekko']","['i agree', 'Vayne']","['loser1520', 'Zilean']",Victoire des Bleus
68,"['Ayimiroh', 'Qiyana']","['Stavdogh27', 'LeeSin']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['TrashThręsh', 'Thresh']","['lisux', 'KSante']","['TheWhiteRabbit21', 'Elise']","['TrumpsPP', 'Zed']","['Thrardhin', 'Ezreal']","['Kb Per NARNIAAAA', 'Seraphine']",Victoire des Bleus
69,"['jfk1', 'Quinn']","['Narakeon', 'Kayn']","['ApTix', 'Zoe']","['Platinum Convict', 'Twitch']","['Lancaster', 'Zyra']","['tempplrwebqsjvpn', 'Akshan']","['Yatsuni', 'Pantheon']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Sivir']","['VLK  Mordor', 'Bard']",Victoire des Bleus
70,"['ImMoreTheKaiser', 'Mordekaiser']","['Drops', 'Nunu']","['Talwar', 'Yone']","['ζεζ τ ζεζ', 'Karthus']","['AceTea', 'Heimerdinger']","['Rip 1300RP', 'Swain']","['Bokster', 'Shyvana']","['Lewite', 'Yasuo']","['TeaMage', 'Tristana']","['i have xd', 'Janna']",Victoire des Rouges
71,"['Suramaashira', 'Gangplank']","['Deńji', 'LeeSin']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Ice888', 'Shaco']","['MerePlank', 'Tryndamere']","['Narf', 'Viego']","['fr most', 'Ryze']","['ADPC diff', 'Nilah']","['Kaeli', 'Ashe']",Victoire des Bleus
72,"['Lewite', 'Vladimir']","['Goons', 'JarvanIV']","['BreadyBonk', 'Volibear']","['qfxnhfzkl', 'Sivir']","['Leija', 'Nami']","['Kazetone', 'Jax']","['trolling clown', 'Shaco']","['n3z4rk', 'Yasuo']","['V I N Ç E', 'Kaisa']","['AkcyZ', 'Twitch']",Victoire des Bleus
73,"['bpyhpzcco', 'Garen']","['Kaksen', 'Gragas']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Vayne']","['tvecqrymd', 'Braum']","['Lemonfoxy', 'Gwen']","['Wintrade 4 nudes', 'Mordekaiser']","['NoxusBadGuy', 'Pantheon']","['Maxî', 'Varus']","['Beurette de Lux', 'Seraphine']",Victoire des Bleus
74,"['AL7B', 'Warwick']","['coldwhiteskin', 'Jax']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Thayek', 'Vex']","['souldestroyers', 'Gangplank']","['UAG Janni', 'XinZhao']","['UAG Milonär', 'Syndra']","['Webby14', 'Jinx']","['Hi im confused ', 'Blitzcrank']",Victoire des Bleus
75,"['ICurvedYou2', 'KSante']","['Xayiel', 'Shaco']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['petiyop', 'Lulu']","['true master', 'Aatrox']","['Shotto94', 'Evelynn']","['Dragunov 8', 'Cassiopeia']","['Bugshraswrath', 'KogMaw']","['Ti Pera', 'Karma']",Victoire des Bleus
76,"['Caesar Zilch', 'Quinn']","['Lewite', 'LeeSin']","['coptainkaratina', 'Zed']","['qfxnhfzkl', 'Twitch']","['jungögreniyorum', 'Morgana']","['Cute Maoki', 'Darius']","['FASTRACECAR89', 'Graves']","['Dupree108', 'Syndra']","['Fle Ginepro', 'Tristana']","['ajni', 'Bard']",Victoire des Rouges
