,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
24,"['Merliń', 'Darius']","['Challenjord', 'LeeSin']","['zunome', 'Kaisa']","['Pengwan', 'Ezreal']","['sindel', 'Rell']","['izzZoro', 'Jax']","['Ariuze', 'Belveth']","['FBX Antoniasra', 'Varus']","['Dostojevski', 'Sivir']","['Barlock Diff', 'Karma']",Victoire des Rouges
25,"['SHUKB24', 'Jax']","['xnoo in da hoodz', 'Shyvana']","['Janicki', 'Orianna']","['ZYZZ x KAARAI', 'MissFortune']","['KAARAI', 'Twitch']","['NixiT', 'Irelia']","['Void Nigr', 'Belveth']","['zunome', 'Kaisa']","['AHNENHOLZABUSER', 'Ezreal']","['Merliń', 'Xerath']",Victoire des Rouges
26,"['twitch masdovk1', 'Garen']","['xnoo in da hoodz', 'Shyvana']","['Ganked By Tilt', 'Syndra']","['Inglebass', 'Twitch']","['Rumpebankern', 'Taric']","['Malas nøticias', 'Akali']","['NixiT', 'Talon']","['zunome', 'Kaisa']","['BabarTheKing', 'Sivir']","['Merliń', 'Janna']",Victoire des Rouges
27,"['caratueur', 'Shen']","['Buoasoetu', 'Udyr']","['zunome', 'Kaisa']","['ReSeT A0', 'Caitlyn']","['Merliń', 'Morgana']","['King of Taunton', 'Aatrox']","['Challenjord', 'Hecarim']","['Commander CooI', 'Viktor']","['AdmiraI Adonis', 'Jhin']","['Ragabeloo', 'Blitzcrank']",Victoire des Rouges
28,"['The Monarchist', 'Sett']","['AlbionRoad', 'Mordekaiser']","['zunome', 'Kaisa']","['Joeny44', 'Xayah']","['Merliń', 'Blitzcrank']","['ModernParachute', 'Gragas']","['NSDΑP Mohaaa', 'Hecarim']","['Phôsphoros', 'Orianna']","['ZhyKy', 'Tristana']","['CSF Maruyama', 'Renata']",Victoire des Bleus
29,"['Lone Akali', 'Akali']","['Sweepº', 'Kayn']","['Wixele', 'Qiyana']","['Hi im Gradoo', 'Sivir']","['016 Hirø', 'Morgana']","['her despaιr', 'Jax']","['ZA SKUPATA', 'MonkeyKing']","['zunome', 'Kaisa']","['lurdone', 'Ezreal']","['Merliń', 'Yuumi']",Victoire des Rouges
30,"['jimmyghs83', 'Olaf']","['vishQQ', 'Trundle']","['CestSadLaCommu', 'Viktor']","['bathlabor', 'Lucian']","['NerfBrodo', 'Pyke']","['Ayaangryp', 'Nasus']","['Juliuswp', 'Kayn']","['Susanóo xx', 'Orianna']","['zunome', 'Kaisa']","['Merliń', 'Soraka']",Victoire des Bleus
31,"['Dostyaaaa', 'Urgot']","['AngerBoy', 'MasterYi']","['zunome', 'Akali']","['Nyubrix', 'Ashe']","['Merliń', 'Xerath']","['Xayah is broken', 'Aatrox']","['CarzaQUEEN', 'Ekko']","['archelaus fanboy', 'Syndra']","['MasterBull3t', 'Vayne']","['Mister Wieszak', 'Rakan']",Victoire des Rouges
32,"['380', 'Garen']","['Kilìg', 'Kindred']","['Time 9n6p', 'Katarina']","['MΟUSEIRL', 'Twitch']","['ses lillebror', 'Lulu']","['brabking 1', 'Sion']","['Modmr', 'Kayn']","['Rezzk', 'Vladimir']","['zunome', 'Nilah']","['Merliń', 'Rell']",Victoire des Bleus
33,"['SICANEZEN', 'Aatrox']","['Nakî', 'Hecarim']","['Kindr', 'Pyke']","['Oitrewdnam', 'Twitch']","['anxious pingu', 'Lulu']","['Armenian Yasuo', 'Yone']","['andorN', 'JarvanIV']","['zunome', 'Sylas']","['Ninym', 'Ashe']","['ŁIL NICKI NICOLE', 'Renata']",Victoire des Bleus
34,"['Dunk Spencer', 'Garen']","['Cojines Inflados', 'Gragas']","['zunome', 'Syndra']","['Arckosh', 'Samira']","['Merliń', 'Blitzcrank']","['G0blin', 'Vayne']","['SKD Nyftt', 'JarvanIV']","['FBX Antoniasra', 'Kaisa']","['Brakeless ', 'Jinx']","['Joint TeamEffort', 'Braum']",Victoire des Rouges
35,"['Ultra Instinctz', 'Sett']","['Two Ń', 'Belveth']","['Jungle is trash', 'Sylas']","['drereledozo', 'Kaisa']","['Ranked Aram 1', 'Elise']","['Phnk', 'Garen']","['Boba Trash tea', 'Kayn']","['Lµƒ', 'Xerath']","['antidepresan', 'Kalista']","['El más mejor', 'Braum']",Victoire des Rouges
36,"['NERF JULIE PLZ', 'Jayce']","['Jungle is trash', 'Graves']","['Sinen', 'Gragas']","['endless juice', 'Ziggs']","['VoiceFromNowhere', 'Sona']","['NavareteGita', 'Hecarim']","['Hajank0s', 'Nidalee']","['Zaki Z', 'Zed']","['TankerrNejlaa', 'KogMaw']","['Kicus', 'Lulu']",Victoire des Rouges
37,"['Ðesidia', 'Chogath']","['ATTOPLATTO', 'Viego']","['1O8Op', 'Azir']","['Arieshow', 'Nilah']","['SlimTiger', 'Rakan']","['Im fear', 'Aatrox']","['Jungle is trash', 'Graves']","['YYYYYYYYYTTTT', 'Akali']","['Snaperzt', 'Ziggs']","['endless juice', 'Nautilus']",Victoire des Bleus
38,"['GrimIy', 'Gwen']","['Jungle is trash', 'Graves']","['Ekko the Kayn', 'Ekko']","['Apfelwein', 'Samira']","['endless juice', 'Rell']","['joao2213', 'Malphite']","['Drectus', 'Belveth']","['Swiftdash', 'Ahri']","['Snaperzt', 'Lucian']","['FreZZ7', 'Nami']",Victoire des Bleus
39,"['Chαnged', 'Aatrox']","['Garen03', 'Kayn']","['HeyPynello', 'Xerath']","['Mein Sack Hängt', 'MissFortune']","['SweetiePie', 'Senna']","['endless juice', 'TahmKench']","['Jungle is trash', 'Khazix']","['Petri', 'Syndra']","['R4N Spectros', 'Sivir']","['Michael JäxOn', 'Sona']",Victoire des Rouges
40,"['Kaiju patriarch', 'Malphite']","['SexyBrüßler', 'Kayn']","['duxnpgjxu', 'Sylas']","['Kìter', 'Sivir']","['Camirost', 'Senna']","['FIem', 'Aatrox']","['Jungle is trash', 'Karthus']","['Sus Amοgus', 'Akali']","['khfjtu', 'Samira']","['endless juice', 'Rell']",Victoire des Rouges
41,"['baphocute', 'Jax']","['Jungle is trash', 'Graves']","['freggy', 'Anivia']","['król nędzników', 'Aphelios']","['PlutonianShore', 'Sona']","['Lynadrielpha', 'Nasus']","['pokemon irl', 'Taliyah']","['Lakelastar', 'Cassiopeia']","['Blizzerre', 'Vayne']","['RATIRLFANGIRL777', 'Ashe']",Victoire des Bleus
42,"['Saigo no Asashin', 'Akali']","['SukkubPoBenzo', 'MasterYi']","['Attractive loner', 'Katarina']","['M4YHM', 'Draven']","['swishee', 'Bard']","['VRΛHIL', 'Sett']","['Jungle is trash', 'Khazix']","['Weakside Wizard', 'Heimerdinger']","['Femdom Is Cool', 'Caitlyn']","['foppa98', 'Karma']",Victoire des Bleus
43,"['FindFinn', 'Darius']","['Mercυrγ', 'Rengar']","['Sana OwO', 'Ekko']","['Windiger', 'Ashe']","['LeBouncer', 'Lulu']","['Fullmute Vayne', 'Vayne']","['Jungle is trash', 'Rammus']","['SHAPE Sinner ', 'Swain']","['SoloQueue Lepo', 'Samira']","['D4 tour guide', 'Pyke']",Victoire des Rouges
44,"['cringeattack1815', 'Ezreal']","['Jungle is trash', 'LeeSin']","['Big DICK zilean', 'Zilean']","['NoPrayForUkraine', 'Kalista']","['Chem Baroness', 'Renata']","['Oenarion', 'Yasuo']","['Reformed Konk', 'Khazix']","['Me Big Yi Le NoF', 'Kassadin']","['Lifestyle YTber', 'MissFortune']","['who is the dady', 'Nami']",Victoire des Bleus
45,"['VRΛHIL', 'Darius']","['Jungle is trash', 'Khazix']","['MrBrudas', 'Lux']","['DomePB1', 'Kaisa']","['Tee Tiger', 'Amumu']","['Hof', 'Singed']","['GGCB Sèék', 'Belveth']","['Bakarina', 'Seraphine']","['Shalispessa', 'Vayne']","['ToTikloT', 'Xerath']",Victoire des Bleus
46,"['TrollDude', 'Yone']","['MASNY BOR', 'RekSai']","['Nezukο', 'Vex']","['Dnerish', 'Ezreal']","['Ronin31', 'Xerath']","['Suorye', 'Kennen']","['Vananarayos', 'Zac']","['WuJinDeSiNian', 'Tristana']","['Jungle is trash', 'Yasuo']","['Zεritowo', 'Shaco']",Victoire des Rouges
47,"['420 FLIP IT', 'Singed']","['Jungle is trash', 'Khazix']","['373zhanglhu', 'Kassadin']","['H0rny Potter', 'Aphelios']","['YuuBee UwU', 'Lulu']","['KILDEIS', 'Kayle']","['19946', 'Nocturne']","['ORRESTORSNORRE', 'Viktor']","['time to emerge', 'Kalista']","['1xnayeon', 'Soraka']",Victoire des Bleus
48,"['deathgrip', 'Mordekaiser']","['Stæbbed', 'Shaco']","['harunabi', 'Yone']","['KetaKarl', 'MissFortune']","['Łights', 'Braum']","['BreadLee', 'Pantheon']","['Jungle is trash', 'Khazix']","['Grote fluite', 'Sylas']","['HondaCivicCoup98', 'Tristana']","['Reicik', 'Leona']",Victoire des Rouges
49,"['Cløwn', 'Vladimir']","['YuuBee UwU', 'Hecarim']","['WhoStøleMyLP', 'Singed']","['Kaffeehund', 'Jinx']","['Lil DoomLynx', 'Nami']","['Pedro Alonso', 'Ornn']","['Jungle is trash', 'Khazix']","['CrapSheWas0nly7', 'Ziggs']","['Main Caitlyn ', 'Samira']","['Not A Heathen', 'Maokai']",Victoire des Rouges
50,"['Fλβγ', 'Zed']","['Jungle is trash', 'Khazix']","['Waggyyyy', 'Velkoz']","['afsdasdafas', 'Kaisa']","['Temstro', 'Yuumi']","['Ryan5idee', 'Jax']","['atomesZ', 'Shaco']","['85168418510', 'Tristana']","['schlächter123', 'Aphelios']","['Just ONS baby', 'Janna']",Victoire des Rouges
51,"['WYRZYKOWSKI 1V9', 'Maokai']","['Jungle is trash', 'Khazix']","['Script Kiddie', 'Ryze']","['Toothlezzz', 'Tristana']","[' CBK Kyra Shikei', 'Pyke']","['invisible bug 6', 'Darius']","['gwalciciel06', 'Qiyana']","['Orphile', 'Sylas']","['mete reis', 'Kaisa']","['shaco ap only', 'Shaco']",Victoire des Rouges
52,"['Ratioged', 'Singed']","['KimDanger', 'Diana']","['Jungle is trash', 'Sylas']","['skappalsom', 'MissFortune']","['gold cígo', 'Karma']","['viggolito998', 'Darius']","['NA is so bad', 'Graves']","['ιedι', 'Veigar']","['thisgamealluck', 'Kaisa']","['jsuis toxic', 'Braum']",Victoire des Bleus
53,"['Josuays', 'Aatrox']","['suzy43', 'Udyr']","['Air Presto', 'Zoe']","['Srst3sl4', 'Kaisa']","['aardappel Arie', 'Nautilus']","['Fullmute Vayne', 'Vayne']","['Jungle is trash', 'Khazix']","['PRedaK Sama', 'Galio']","['midnight frogs', 'Jinx']","['No Tilt No Life', 'Soraka']",Victoire des Rouges
54,"['Twtv NgunsL0L', 'Malphite']","['Jungle is trash', 'Khazix']","['Nicolas Kochler', 'Leblanc']","['Kuddan', 'Lucian']","['EMClonne', 'Pyke']","['Tschaeng', 'Jax']","['KTL HardStuck', 'Karthus']","['pogromca 13tek', 'Yone']","['GlitterEnjoyer', 'Caitlyn']","['CoratWyOrYou', 'Lux']",Victoire des Bleus
55,"['Bibi Choupinou', 'Camille']","['Squoshy', 'Nocturne']","['OR Opeduy', 'Sylas']","['Pipou Choupinou', 'MissFortune']","['pissellinoplatin', 'Bard']","['Kunsito TOP', 'Vladimir']","['Jungle is trash', 'Khazix']","['Akiaaa', 'Yasuo']","['GlitterEnjoyer', 'Caitlyn']","['CoratWyOrYou', 'Lux']",Victoire des Rouges
56,"['m0ak', 'Yone']","['Jungle is trash', 'Khazix']","['Imminent Future', 'Ahri']","['Kaffeehund', 'Jinx']","['Ugenelellsim', 'Senna']","['Metal Kor', 'Riven']","['Vaniljekransen', 'Hecarim']","['CapsIsMyFather', 'Sylas']","['Fart Simpson', 'Vayne']","['Netherim', 'Thresh']",Victoire des Rouges
57,"['like the 40s', 'Singed']","['Jungle is trash', 'Khazix']","['biały Mbappe', 'Taliyah']","['XxdarkhamtaroxX', 'Ezreal']","['eLS Kwebz', 'Soraka']","['juggernot', 'Udyr']","['Dr Marcosa', 'Graves']","['yοnko', 'Sylas']","['Joiningplay', 'Twitch']","['REINA FROZEN', 'Karma']",Victoire des Bleus
58,"['Belulina5', 'Akali']","['HOLD AND BALANÇA', 'Volibear']","['Éclat Finalle', 'Lux']","['DavidOfficialLPs', 'Ashe']","['Im Rick James', 'Zilean']","['mangmyeonghwanja', 'Nunu']","['Jungle is trash', 'Khazix']","['alaba1', 'Leblanc']","['Harleyfahrer52', 'MissFortune']","['I Like Dominion', 'Gragas']",Victoire des Bleus
59,"['TheSecondWolf', 'Vayne']","['Jungle is trash', 'Khazix']","['Kuboto', 'Sylas']","['Sucy', 'Sivir']","['Camirost', 'Senna']","['ΒRNA Fanboy', 'Riven']","['Perunus', 'Evelynn']","['twtv lolproven', 'Talon']","['CHADRLES', 'Ashe']","['Chäo2', 'Rakan']",Victoire des Bleus
60,"['TriangelTobi', 'Malphite']","['Malwarwick', 'Warwick']","['Uii Memo', 'Ahri']","['you dian huai', 'Ashe']","['TànyaTheMadness', 'Senna']","['DS DARK PR0', 'Sylas']","['Jungle is trash', 'Khazix']","['Dukes Nukes', 'Akshan']","['Gumayusi9', 'Kalista']","['NoChatOnlyTiming', 'Amumu']",Victoire des Bleus
61,"['Top Ravellino', 'Nasus']","['SweetPrix', 'Sejuani']","['sC Kanay', 'Taliyah']","['Hollow Mid', 'Yasuo']","['Wortoreld', 'Lulu']","['SWALLOWMYRUNE', 'Ryze']","['skyztrix', 'Evelynn']","['Scrubnootje', 'Yone']","['Rodeeur', 'Jhin']","['TobiderHerrscher', 'Nami']",Victoire des Bleus
62,"['Kyσ', 'Mordekaiser']","['BabaSmurf', 'Hecarim']","['Ahimsa fan acc', 'Zoe']","['Spicy Wing 342', 'Ezreal']","['Κitano Ken', 'Thresh']","['Die Testoratte', 'Gnar']","['ZESTE DE CITRON', 'Volibear']","['Stureplanskuk', 'Twitch']","['ARC Loli', 'Jhin']","['Rodeeur', 'Rakan']",Victoire des Bleus
63,"['Styll', 'Taliyah']","['Smaska Kuk', 'Graves']","['Patrik Bateman', 'Vayne']","['xXEnigmaXx', 'Ezreal']","['Rodeeur', 'Rakan']","['BALOUZA', 'Akshan']","['JessezWy', 'Warwick']","['Iotinadinal', 'Viktor']","['PurePerfect', 'Kaisa']","['AccioTetas', 'Zilean']",Victoire des Rouges
64,"['pussycat', 'Irelia']","['His Hammer', 'Diana']","['SasuKevin', 'Kassadin']","['Hachikan', 'Kaisa']","['Rodeeur', 'Rakan']","['IFW Steylers', 'Jax']","['Not Veghance', 'Hecarim']","['Dense Harem Mc', 'Viktor']","['Stanley Hopson', 'Caitlyn']","['Nαdes', 'Braum']",Victoire des Rouges
65,"['Kocykek', 'Udyr']","['dadedidodu', 'Khazix']","['x9088y', 'Katarina']","['VØID LØVE', 'Kaisa']","['Flaiyper', 'Nami']","['LethalRaptorJD', 'Malphite']","['Wanda Maxímoff', 'Graves']","[' Mwen Se Ayisyen', 'Azir']","['The Kiss', 'Vayne']","['Rodeeur', 'Rakan']",Victoire des Rouges
66,"['Darkest Templar', 'Jayce']","['PavelVafel', 'Maokai']","['Project Haaland', 'Akali']","['most valuable p1', 'Samira']","['Rodeeur', 'Rakan']","['Gingarino', 'Anivia']","['TheRealSphinx', 'Talon']","['s2s4s2s3s1s2s4s2', 'Leblanc']","['BUFF NightHunter', 'Vayne']","['Topc4t', 'Rell']",Victoire des Rouges
67,"['aCe shufflevier', 'Renekton']","['KaMiDra', 'Zac']","['Fluffy Flamingo', 'Vex']","['Muffieee', 'Kaisa']","['Rodeeur', 'Rakan']","['RoT Leopard', 'Tryndamere']","['RedLikeRöses', 'JarvanIV']","['ECO Sonar', 'Leblanc']","['ECR Miks', 'Twitch']","['PBE Thuete', 'Alistar']",Victoire des Bleus
68,"['ColosaIu', 'Shen']","['no creativity z', 'Rengar']","['NSM SprInta', 'Taliyah']","['ECR Miks', 'Caitlyn']","['Fiddly top 1v9', 'Twitch']","['SWALLOWMYRUNE', 'Vladimir']","['Sudifash', 'Shyvana']","['T1 Potato v9', 'Irelia']","['Cynik', 'Kaisa']","['Rodeeur', 'Rakan']",Victoire des Bleus
69,"['milk addiction', 'Anivia']","['S Q W E E K', 'Hecarim']","['LGOvile', 'Taliyah']","['Rodeeur', 'Lucian']","['play3rzer0', 'Thresh']","['Sarce2Singe', 'Yasuo']","['III VLAD VOYVODA', 'Amumu']","['eaterlife', 'Rumble']","['Ciêspie', 'Draven']","['Poonies', 'Zilean']",Victoire des Bleus
70,"['BlackLotuZz', 'Malphite']","['Middle Leg', 'RekSai']","['Valhalla Gennaro', 'Sylas']","['Hàrd Multiflop', 'MissFortune']","['Rodeeur', 'Velkoz']","['Sõhan', 'Quinn']","['Côte de Méduse', 'Belveth']","['ARMASSJR', 'Vladimir']","['Wild Funky', 'Samira']","['Tom Kazansky', 'Rakan']",Victoire des Bleus
71,"['GIANT TOP LANER', 'Shen']","['C0 Lowkey', 'Kayn']","['Try2V1NextTime', 'Katarina']","['Vippix', 'Ashe']","['A Peasant', 'Karma']","['Private Pansy', 'Darius']","['Middle Leg', 'RekSai']","['Valhalla Gennaro', 'Sylas']","['womu', 'Caitlyn']","['Rodeeur', 'Rakan']",Victoire des Rouges
72,"['GIANT TOP LANER', 'Ornn']","['Ekkualizer', 'Ekko']","['Jallé', 'Qiyana']","['Pjobling121', 'Twitch']","['3b ERASER', 'Anivia']","['MistaBoonga', 'Gnar']","['abc123456', 'Elise']","['SpoηgeTop', 'Zed']","['IDG BogdanBDB', 'Kaisa']","['Rodeeur', 'Rakan']",Victoire des Bleus
73,"['IFW Steylers', 'Jax']","['Kreve', 'RekSai']","['Ruin3d King', 'Viktor']","['Bendåx', 'Ezreal']","['Rodeeur', 'Rakan']","['Leer', 'Heimerdinger']","['iEbrahim1001', 'MasterYi']","['tempfspujxfdnhkp', 'Karma']","['Klero Sama', 'Samira']","['Punched0', 'Leona']",Victoire des Bleus
74,"['Ultra Instinctz', 'Olaf']","['Froziph', 'Udyr']","['Mike Chisowda', 'Akali']","['Ubots', 'Kalista']","['Rodeeur', 'Rakan']","['Tw tv Im Row1', 'Nasus']","['Nevalucky', 'Nocturne']","['Stemningspisker', 'Zilean']","['La Fouchtrance ', 'Cassiopeia']","['9ct', 'Senna']",Victoire des Bleus
75,"['Zíma', 'Jayce']","['TATOnachoMAN', 'Viego']","['Ekko things', 'Fizz']","['Ryan Awakens', 'Lucian']","['qunk', 'Nami']","['RO MidLaner HD', 'MonkeyKing']","['MaxMartens', 'Udyr']","['Nuiji the King', 'Ahri']","['miano3', 'Kaisa']","['Rodeeur', 'Rakan']",Victoire des Rouges
76,"['SKD JoKozz413', 'Akali']","['PiotrPrzepiórka', 'LeeSin']","['EWS Bubi', 'Syndra']","['Gomasushi', 'Jinx']","['Rodeeur', 'Rakan']","['Mãfia', 'Shen']","['League of Freud', 'Kindred']","['TwTv XeraXyT', 'Katarina']","['need 2019', 'Aphelios']","['KendriH', 'Janna']",Victoire des Bleus
