,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
778,"['Wixos Sulfate', 'Olaf']","['EU JG KING', 'Hecarim']","['Umbruh', 'Ahri']","['Trayzer', 'Kaisa']","['Zdyb', 'Janna']","[' LukiSteνe', 'Jax']","['Flanko', 'Kled']","['Celestial Lisa', 'Kassadin']","['Buff AD Carry', 'Xayah']","['NoNatty November', 'Thresh']",False
779,"['Allié 1', 'Yasuo']","['Patrik Bateman', 'Evelynn']","['CoIa4You', 'Sylas']","['Fip', 'Vayne']","['NoNatty November', 'Nautilus']","['Bogavante', 'Ornn']","['ALMO IntøxqZz', 'Ekko']","['Tenchi1234', 'Qiyana']","['Bulletstorm', 'Lucian']","['could win', 'Nami']",True
780,"['Kùster', 'Mordekaiser']","['Heroesxyz', 'Evelynn']","['VINKO RETURNS', 'Tristana']","['Zestoust', 'Varus']","['Yumekö', 'Renata']","['tigerthetiger', 'MonkeyKing']","['lannisters for l', 'Taliyah']","['SLR muxx', 'Viktor']","['Εros', 'Ashe']","['NoNatty November', 'Heimerdinger']",False
781,"['Sevaak', 'Zac']","['Casinero', 'Udyr']","['ONE MISSION', 'Viktor']","['mangejesus', 'Draven']","['NoNatty November', 'Camille']","['WineKill', 'DrMundo']","['Crxpe', 'Khazix']","['Raippaaja', 'Cassiopeia']","['Soeih', 'Samira']","['Carεfull', 'Yuumi']",True
782,"['Rudyy', 'Yone']","[' BORNFR0MPAIN', 'Viego']","['FlorencexM', 'Ryze']","['tuids', 'Ashe']","['A DEMON IN 6LUE', 'Karma']","['WineKill', 'DrMundo']","['At0mflunder', 'Ekko']","['Raippaaja', 'Sylas']","['Xtak', 'Caitlyn']","['NoNatty November', 'Lux']",True
783,"['Rudyy', 'Yone']","['weixin waifuPLDL', 'Kindred']","['GEEN JONAGOLDEN ', 'Viktor']","['pgdjjmp', 'Ezreal']","['NoNatty November', 'Thresh']","['MeierSepp', 'Aatrox']","['Hamziiii', 'Lillia']","['Raippaaja', 'Akali']","['Liam Cole', 'Kaisa']","['Suâ', 'Rakan']",False
784,"['Oh hello Bird', 'Gnar']","['paga la coca', 'Rengar']","['propalyer', 'Viktor']","['Ξ Δ Ξ', 'Twitch']","['Slikki', 'Nami']","['KC Kappano', 'Mordekaiser']","['Julios', 'RekSai']","['Akawi', 'Akali']","['Sexpartybeast420', 'Draven']","['NoNatty November', 'Pyke']",False
785,"['alphadagge', 'Sion']","['LAL Salgueiro', 'FiddleSticks']","['FreakyFreddy43', 'Zed']","['puchito enjoyer', 'Lucian']","['NoNatty November', 'Nami']","['Pâssion', 'Ryze']","['boostmespeed', 'Rengar']","['xngsecnmx', 'Sylas']","['Superhubο', 'Kaisa']","['aesya', 'Lux']",False
786,"['rtwpdtm', 'Camille']","['LAL Salgueiro', 'FiddleSticks']","['Inaban3', 'Akshan']","['Pâssion', 'Varus']","['NoNatty November', 'Heimerdinger']","['On Your Adc', 'Jax']","['Peldanyos', 'Kindred']","['PixeIKoz', 'Velkoz']","['Woi and Oi', 'Ashe']","['IlIllIlI', 'Karma']",True
787,"['Hospital Ready', 'KSante']","['LastSacrifice7', 'Khazix']","['fak', 'Diana']","['Cêbr', 'Ezreal']","['NoNatty November', 'Heimerdinger']","['HkR', 'Poppy']","['8ELWNAPE8ANWXD', 'Ekko']","['XP6', 'Qiyana']","['DravenHater445', 'Kaisa']","['OK MB WE FF', 'Leona']",False
788,"['Melodic', 'Fiora']","['SORLE 777', 'Karthus']","['IDWDTAXXX', 'Syndra']","['SweatIRL', 'Draven']","['NoNatty November', 'Nautilus']","['Oritzu', 'Sett']","['NinjąQ8', 'Hecarim']","['RGM TheHufo', 'Zilean']","['Espetos Maker', 'Aphelios']","['Un3n0wn', 'Yuumi']",False
789,"['RoIIs Royce', 'Illaoi']","['Never Achiever', 'Taliyah']","['IDWDTAXXX', 'Syndra']","['SweatIRL', 'Varus']","['NoNatty November', 'Nautilus']","['Νight Drive', 'Gragas']","['nextryv1', 'Rengar']","['RGM TheHufo', 'Ivern']","['Stierlitz', 'Caitlyn']","['CaptainCIean 420', 'Nami']",False
790,"['TwerKïng Riven', 'KSante']","['Dishonor', 'Belveth']","['dobcazmkj', 'Zed']","['pericolo', 'Syndra']","['NoNatty November', 'Nautilus']","['Yuyan', 'Darius']","['Caleeem ga Kill', 'Nidalee']","['PorterjNiG', 'Kassadin']","['wjeD', 'Aphelios']","['Runnorr', 'Thresh']",True
791,"['Reformed Crabcho', 'Riven']","['1523', 'Graves']","['SPUKER is taken', 'Malzahar']","['HLX Vlad', 'Heimerdinger']","['NoNatty November', 'Pyke']","['rejuicer', 'Camille']","['Santoryu I User ', 'Lillia']","['VonBisVor', 'Yasuo']","['Toucoen0', 'Aphelios']","['Jellorelira', 'Lulu']",False
792,"['AlfredoRato33', 'Fiora']","['Klatzenklopper', 'Diana']","['Lvl18 Hoothoot', 'Yasuo']","['υzi', 'Kalista']","['NoNatty November', 'Nautilus']","['SYX1', 'Aatrox']","['Let me fear you', 'FiddleSticks']","['Pacob Jeralta', 'Viego']","['samj1046', 'Xayah']","['Bard is Art', 'Bard']",False
793,"['GintermaFKingOne', 'Riven']","['KENNETGOD99', 'Graves']","['tortoiselder', 'Ziggs']","['Büyük SlowLeR', 'Ezreal']","['NoNatty November', 'Karma']","['DeimosXPhobos', 'Aatrox']","['VakarisCiulpedra', 'Rengar']","['Tykoul', 'Sylas']","['Keladiernell', 'Caitlyn']","['en fin', 'Janna']",False
794,"['Rudyy', 'Yone']","['Dcraz', 'Graves']","['MrBrudas', 'Lux']","['öplkjhgfdsaadsef', 'Vayne']","['Lantern me plz', 'Yuumi']","['Τo Φανάρι', 'Jax']","['kraylec', 'Shaco']","['Imperiall', 'Galio']","['wxinpark', 'Samira']","['NoNatty November', 'Nautilus']",False
795,"['Anaya59', 'Darius']","['D1 stomper', 'Rengar']","['Olaribellias', 'Vex']","['DzordixWest', 'Jhin']","['Andastra', 'Nami']","['Draize', 'Fiora']","['8ELWNAPE8ANWXD', 'Talon']","['HRAB0NSZCZ', 'Syndra']","['Ashinas Bane', 'Lucian']","['NoNatty November', 'Heimerdinger']",True
796,"['Hyper720', 'Gwen']","['multikid', 'Volibear']","['Maghreb Sayrk', 'Tryndamere']","['Heyz3r', 'Tristana']","['NoNatty November', 'Heimerdinger']","['Cyrainthow', 'Fiora']","['Le Bon Vieux FiF', 'Graves']","['Zherathor', 'Anivia']","['PÉON zLx', 'Sivir']","['Zoara', 'Yuumi']",False
797,"['Celadeus', 'TahmKench']","['Taba1', 'Viego']","['Strong MentαI', 'Viktor']","['Cray0neat3r', 'Varus']","['oracz kurew', 'Pyke']","['PD Lynx', 'Akali']","['ąokigahara', 'Khazix']","['npc2023', 'Qiyana']","['Skyownage v2', 'Seraphine']","['NoNatty November', 'Heimerdinger']",False
798,"['iagog', 'Camille']","['fvawdhk', 'Kindred']","['ωΣΣzZ', 'Sylas']","['accepting pain', 'Jhin']","['That One Player', 'Ashe']","['Anaya59', 'Garen']","['Hihi Haha Miau', 'Elise']","['HakanaÎ', 'Ahri']","['iUEileen', 'Jinx']","['NoNatty November', 'Heimerdinger']",True
799,"['LANZENKNECHT', 'Shen']","['anger manager', 'Khazix']","['Chicken mit Reis', 'Vex']","['WNQQNW32', 'Sivir']","['Phönlx', 'Thresh']","['SpawnedToTrolI', 'Camille']","['SeCoD', 'Zac']","['NoNatty November', 'Ziggs']","['magifelix shrink', 'Samira']","['MrProfessor', 'Maokai']",True
800,"['Grönbuff', 'Vayne']","['PeepoFeetLick', 'Hecarim']","['Guirake le juste', 'Viktor']","['Azurave', 'Varus']","['NoNatty November', 'Nautilus']","['SasuKevin', 'Garen']","['Oxram', 'Zac']","['xdn', 'Akali']","['Alvara Motara', 'MissFortune']","['Sonaive', 'Sona']",False
801,"['Moonkie', 'Yone']","['PeepoFeetLick', 'Hecarim']","['the inexcusable ', 'Sylas']","['BBE September', 'Varus']","['NoNatty November', 'Heimerdinger']","['DBE Amed', 'Camille']","['Yds', 'Elise']","['Eyeslasher', 'Yasuo']","['UCAM Lisbd', 'Jinx']","['Grindset Enjoyer', 'Pyke']",False
802,"['JhinTopNoTroVII', 'Jhin']","['Vecd', 'Karthus']","['iFatiko', 'Jayce']","['iFearless72', 'Samira']","['Amin', 'Pyke']","['ZAA ZAAAA', 'Tryndamere']","['Qutility', 'Shaco']","['B5 THRN', 'Viktor']","['pgdjjmp', 'Lucian']","['LegalizeSteroids', 'Nami']",True
803,"['Kyopon', 'Gnar']","['adampongo', 'Kindred']","['Hayden', 'Ahri']","['Ray D Bradbury', 'Jhin']","['Limits Enjoyer', 'Xerath']","['ßaltha', 'Darius']","['NoMeCabíaElNombr', 'FiddleSticks']","['VladMadeMeGay', 'Vladimir']","['Tepar', 'Kaisa']","['Baits', 'Soraka']",False
804,"['Haltinulo', 'Shen']","['Tucsô', 'Hecarim']","['Caps catalán', 'Vex']","['Macias King', 'MissFortune']","['im gna kms', 'Zyra']","['Kyopon', 'Gnar']","['xBlackyBERRYx', 'Belveth']","['HappyAzirMain', 'Sylas']","['borp', 'Tristana']","['ZhuZhu', 'Velkoz']",False
805,"['Kyopon', 'Teemo']","['ALPHA WOLF  21', 'Sejuani']","['Få mig ud', 'Yone']","['RLU NoTrust', 'MissFortune']","['RLU Harry', 'Ashe']","['WalterPolly1', 'Akali']","['pqqhy', 'Trundle']","['Arssen1', 'Singed']","['WittiestSpice', 'Sivir']","['Boat Crew Two', 'Senna']",False
806,"['T1 UwU', 'Sett']","['Kyopon', 'Hecarim']","['SirWingman', 'Zilean']","['Violent Turtle', 'Ezreal']","['Lalalaaaaaaaaaaa', 'Soraka']","['Filon1234', 'Aatrox']","['Qiyana samä', 'MasterYi']","['Bad VelKoz', 'Velkoz']","['deft fan6', 'Caitlyn']","['EsteNoEsProtegod', 'Janna']",False
807,"['kàsparov', 'Poppy']","['Hygoneta', 'Kayn']","['SigmäMindset', 'Akali']","['ÁLISTAR', 'Ziggs']","['FncFlyingPenguin', 'Janna']","['Rêαper', 'Sett']","['Kyopon', 'Graves']","['EarthAppleX', 'Syndra']","['EngalinXD', 'Caitlyn']","['Nanaralerme', 'Lux']",True
808,"[' L9 WHITE TEA ', 'Cassiopeia']","['Reflect Bounder', 'Hecarim']","['Bad VelKoz', 'Velkoz']","['Viirtua', 'Draven']","['Joel MiIIer', 'Renata']","['Kyopon', 'Gwen']","['KlubbarN', 'Graves']","['LAXXO', 'Xerath']","['d4nyhd', 'Varus']","['SMADA', 'Nami']",True
809,"['Kyopon', 'Sejuani']","['OBICHAM ANI', 'Mordekaiser']","['Gandem', 'Akshan']","['JlNX', 'Jinx']","['God Jew', 'Pyke']","['Kua', 'Sion']","['Flùss', 'Kayn']","['Okurim', 'Azir']","['Waxon Fenix', 'Kaisa']","['Kamel', 'Yuumi']",True
810,"['a wistful smile', 'Jayce']","['Akagi Shigeru', 'Shaco']","['LNADA FFFFFFFFF', 'Sylas']","['LNADA Deft Son', 'Draven']","['WalterPolly1', 'Blitzcrank']","['Kumilist', 'Sejuani']","['Kyopon', 'JarvanIV']","['Bad VelKoz', 'Velkoz']","['G Λ R V I', 'Jhin']","['Zookeeper Falk', 'Alistar']",False
811,"['Olaf Adventure', 'Gragas']","['Tartiflettas', 'LeeSin']","['Gleff', 'Syndra']","['Aksewan', 'Xayah']","['Çabbal', 'Pyke']","['Kyopon', 'Sejuani']","['Vedoluinim', 'XinZhao']","['KD KalipodeFresa', 'Chogath']","['ChaffyGravy', 'Samira']","['Bimbobond', 'Nautilus']",False
812,"['L9 Shiwuu', 'Kayle']","['Huwsegopra', 'Graves']","['andaluz macreao', 'Katarina']","['I am Yuuki', 'Seraphine']","['ZzioizZ', 'Nami']","['LVS 4L', 'Akali']","['Kyopon', 'Kindred']","['wet for you', 'Lulu']","['owzvzxo', 'Twitch']","['almost forgot', 'Nautilus']",True
813,"['Vant3', 'Sett']","['rep matt', 'Ekko']","['D1dream', 'Tryndamere']","['Unlimitedheavens', 'Draven']","['Öncü Dürüm', 'Karma']","['ChrisBumsteadGOD', 'Darius']","['Roflcopta123', 'Khazix']","['Turkish kebab xD', 'Veigar']","['Kyopon', 'Caitlyn']","['Sam Sinister', 'Bard']",True
814,"['Tavaa', 'Kled']","['Kyopon', 'Elise']","['EMAymniam', 'Yasuo']","['Hi Im Nαtsu', 'Caitlyn']","['ωoοƒ', 'Nami']","['DRUTUTT FANBΟY', 'Camille']","['erka na sygnale', 'Karthus']","['R0MANTIC MACHO', 'Sylas']","['eingebildet', 'Draven']","['Demetrah', 'Soraka']",True
815,"['Lalaith437623789', 'Garen']","['rep matt', 'Kayn']","['Dybala', 'Diana']","['Unlimitedheavens', 'Caitlyn']","['Demetrah', 'Soraka']","['Kyopon', 'Teemo']","['XxPushyxX', 'Graves']","['Turkish kebab xD', 'Talon']","['Hasse Frauen', 'Draven']","['Ana pls', 'Lulu']",True
816,"['Kyopon', 'Teemo']","['Nils Axel', 'Viego']","['Maiori Zerozaki', 'Tryndamere']","['egobabyy', 'Veigar']","['Petite Akina', 'Nami']","['Iaxus', 'Aatrox']","['9ζζΠζζ9', 'Qiyana']","['Peavey Classic', 'Syndra']","['441808213', 'Ezreal']","['SOMBRE LUMIERE', 'Zyra']",True
817,"['DraKite', 'Ornn']","['Nils Axel', 'Viego']","['greyangel420', 'Taliyah']","['egobabyy', 'Lucian']","['Petite Akina', 'Nami']","['Kyopon', 'Sejuani']","['Surio', 'Zed']","['Krischör', 'Annie']","['U Int Me I Run U', 'Aphelios']","['Daviewaviebabie', 'Lulu']",False
818,"['OwnerOfBigPP', 'Shen']","['akyo akyo', 'Kayn']","['Sebal', 'Azir']","['Kyopon', 'Varus']","['Heslon73', 'Lulu']","['Ta Zai Deng Wo', 'Nasus']","['Wogon', 'Karthus']","['A DEMON IN 6LUE', 'Vex']","['im cursed 999', 'Lucian']","['RYN0N', 'Nami']",True
819,"['Kyopon', 'Teemo']","['JungleOnJoystick', 'Khazix']","['fox loaf', 'Azir']","['OsquíllarFachero', 'Ezreal']","['Kresha', 'Nami']","['Yousaki', 'Riven']","['chabalou99', 'Kindred']","['Dr chicki nuggie', 'Karma']","['BBC Jolilo', 'Kaisa']","['Whiskey Neat ', 'Janna']",True
820,"['Khal Drogo', 'Vladimir']","['Kyopon', 'Trundle']","['CallMeNesre', 'Sylas']","['Marcelina Hi', 'Kaisa']","['EmBo123', 'Nami']","['ZKGax', 'Shen']","['Wogon', 'Rammus']","['L9 Späher', 'Xerath']","['L9 Lineal', 'Varus']","['dasGummihuhn', 'Lulu']",False
821,"['Omeahayalvi', 'Sett']","['Onickear', 'Belveth']","['CapsIsMyFather', 'Akali']","['G Λ R V I', 'Ezreal']","['Šalty Cookie', 'Seraphine']","['Kyopon', 'Shen']","['0 Dovi', 'Ekko']","['REGULAR PERSON', 'Qiyana']","['Ρecora', 'Jinx']","['KaIandra', 'Lulu']",False
822,"['Kha Brobo', 'Akshan']","['Leoz', 'Rengar']","['suzeRRR', 'Syndra']","['Kyopon', 'Jinx']","['Ranked Aram 1', 'Elise']","['Evil Urgot', 'Urgot']","['Yi Only', 'MasterYi']","['RASOMAXA', 'Azir']","['MadelineQui', 'Vladimir']","['Posêìdon', 'Renata']",True
823,"['DieuYe', 'Garen']","['Kyopon', 'Graves']","['m0rdredjr', 'Katarina']","['Soup carry', 'Samira']","['Foxer', 'Karma']","['Sergiogz', 'Aatrox']","['Poonies', 'Udyr']","['ROAM GOKSEL', 'Ahri']","['Kaijie', 'Kaisa']","['TuvLuuk', 'Zyra']",False
824,"['Larsenic17', 'Darius']","['goldenLUTSCHER99', 'Zac']","['Voistech', 'Vex']","['Ønlyfk ', 'Kaisa']","['jasim boss', 'Soraka']","['Kyopon', 'Sejuani']","['IPŁ PoneyStar', 'Udyr']","['papardak', 'Azir']","['AE Wrainy', 'Varus']","['CHIWAAAAAAAAAAAA', 'Janna']",True
825,"['RaYouDam', 'Fiora']","['Kyopon', 'JarvanIV']","['IWILLKILLMYSELF', 'Kassadin']","['MEGADEMILIO', 'Ezreal']","['greyangel420', 'Twitch']","['RNK Lirux', 'Urgot']","['dadwdasdawdawd', 'Kindred']","['Arkk', 'Ahri']","['Nonaaaax', 'Kaisa']","['Pepps', 'Senna']",False
826,"['JohnnLeeSinz', 'Vayne']","['Kyopon', 'Nocturne']","['owlenok', 'Syndra']","['Unlucky Memer', 'MissFortune']","['Wissler', 'Alistar']","['TheeGuiGui', 'Rumble']","['6srjtzfxgzhdsxrz', 'Graves']","['our wings', 'Irelia']","['Nobody1123', 'Twitch']","['ΜichaeloAηgelo', 'Swain']",True
827,"['DMAA RAGE', 'KSante']","['drip abuser', 'Kindred']","['Deuscxw', 'Sylas']","['evorpmi lliw', 'Xayah']","['Eierbaer', 'Pyke']","['Trymex', 'Renekton']","['Kyopon', 'Graves']","['iFoyy', 'Vex']","['ECR Nilge', 'Seraphine']","['YΘUGZ', 'Rakan']",False
828,"['GoSu VEKE', 'Ornn']","['Kyopon', 'Kindred']","['ˇMIDKING', 'Syndra']","['Lundarious', 'Ezreal']","['USM Herwyn', 'Soraka']","['ItsILiador', 'Fiora']","['CAŁAMITY', 'Hecarim']","['Inicta', 'Sylas']","['Shreder', 'Karthus']","['kuuftwEZtop', 'Pyke']",False
829,"['Gelibolulu', 'Akali']","[' Tðmmy SheIby', 'Viego']","['Rebeca', 'Camille']","['Simmy09', 'Jinx']","['keeszuv', 'Renata']","['Gunkus Maximus', 'Yone']","['Kyopon', 'JarvanIV']","['TwTv FoxyThe1st', 'Varus']","['Yahya', 'Kaisa']","['Skooby Dooby Doo', 'Nautilus']",False
830,"['A strawberry', 'Fiora']","['Sailys', 'Trundle']","['Hndalea', 'Sylas']","['Plebby McPleb', 'Ashe']","['KURΑC', 'Sona']","['Kyopon', 'Sejuani']","['4FINGERMAN', 'LeeSin']","['Mazii1', 'Heimerdinger']","['cache oeil irl', 'Samira']","['Sh4rk3', 'Zilean']",False
831,"['DTR BelloMain', 'KSante']","['Kyopon', 'LeeSin']","['TURBORACISTE', 'Pyke']","['Guÿ', 'Kaisa']","['VinhoArdente', 'Thresh']","['Voistech', 'Irelia']","['Pick me Lee', 'Nocturne']","['OtpArlong', 'Fizz']","['winwin vvs tetsu', 'Lucian']","['XZXZXZXZXZXZ1', 'Ashe']",True
832,"['vincentjack1', 'Malphite']","['KKK Bear', 'Belveth']","['Napokuesond', 'Malzahar']","['shangxu', 'Samira']","['adickted', 'Yuumi']","['Chun Him', 'Aatrox']","['Kyopon', 'Graves']","['EnRo HugoDerJugo', 'Sylas']","['Actually Fred', 'Kaisa']","['Shâdôx', 'Renata']",True
833,"['Mr hunt3r', 'Tryndamere']","['Kyopon', 'Elise']","['HungrigerFoetus', 'Velkoz']","['Figger001', 'Xayah']","['LUSCHE', 'Ashe']","['EKIPATOWClAGA', 'Gnar']","['BOMBALEPS MP3', 'Nocturne']","['Kraddyyy', 'Sylas']","['HeylmVayne', 'Caitlyn']","['iAMofferbaby', 'Lux']",False
834,"['Siwoll', 'Shen']","['Kyopon', 'Graves']","['ChinoisAttack', 'Leblanc']","['Angle Seeker', 'Jhin']","['su6 The Sinner', 'Nami']","['pfp', 'Riven']","['Shàanks', 'Ekko']","['Death Mαrk', 'Zed']","['HEC Wadu', 'Kaisa']","['Feline Enjoyer', 'Nautilus']",False
835,"['EddíeSmurphy', 'Volibear']","['OGR Mugen1', 'Kayn']","['Vitty03', 'Vex']","['Lindbęrg', 'MissFortune']","['Kî l Äm', 'Alistar']","['Gelibolulu', 'Viego']","['Kyopon', 'JarvanIV']","['Aimant A Chatte', 'Leblanc']","['Ubots', 'Jinx']","['Dawíd Jasper', 'Lulu']",True
836,"['DMNrequiem', 'Fiora']","['DMNCanyon', 'Graves']","['SEASON9CHAMPSXD', 'Sylas']","['NPCs Keeper', 'Varus']","['walking npc', 'Thresh']","['Léonce', 'Zac']","['OxA Eldarze', 'Kayn']","['thekiller888888', 'Xerath']","['peel madi pls', 'Samira']","['HarshMoon', 'Rell']",True
837,"['Braces', 'Yone']","['walking npc', 'Kindred']","['Whooi', 'Anivia']","['Teddy314', 'Caitlyn']","['Salatko', 'Lux']","['Vernon Cruel', 'Pantheon']","['pro', 'Zac']","['m0rdredjr', 'Katarina']","['RudyRonaldinho', 'Kaisa']","['Serenity Life', 'Lulu']",False
838,"['HHaie KarpfenRIP', 'Vladimir']","['Support 1st', 'Vi']","['TANKPOURLESTREAM', 'Yasuo']","['VIBE Kungen', 'Jhin']","['walking npc', 'Brand']","['CAUSEofVIKTORY', 'Teemo']","['420 fleX', 'Hecarim']","['Jings', 'Malzahar']","['Error404 NoSUP', 'Jinx']","['ItsTrath', 'Sona']",True
839,"['IlllIIllIIIlllI', 'Garen']","['Olistyc', 'XinZhao']","['Miniwα', 'Fizz']","['ZeroTempo', 'Varus']","['Babeta', 'Nami']","['Skáphe', 'Jax']","['walking npc', 'Elise']","['Colja', 'Renekton']","['Hafling', 'Jhin']","['Arro13', 'Lux']",True
840,"['Lv8 Rattata', 'Quinn']","['Focus on Inting', 'Ekko']","['Rebeca', 'Syndra']","['Vayne God', 'Ezreal']","['Sailor Pengo', 'Yuumi']","['General Tose', 'Jax']","['walking npc', 'Kindred']","['Ape Detergent', 'Vex']","['GUCCI BAG SIKINI', 'Caitlyn']","['ME Raìn', 'Twitch']",True
841,"['ramosglowkabrama', 'Camille']","['zHiqaNQ FABBY7VX', 'Graves']","['new kebab lord', 'Taliyah']","['Benitus', 'Lucian']","['Love or Hate', 'Nami']","['Umùt', 'Riven']","['walking npc', 'Hecarim']","['Lomuà', 'Syndra']","['a summer breeze', 'Nilah']","['smatro', 'Soraka']",True
842,"['xSkipox', 'Camille']","['walking npc', 'Graves']","['Sprühschissgott', 'Azir']","['Vayne God', 'Vayne']","['Sailor Pengo', 'Yuumi']","['0siris', 'Fiora']","['smitestealer6669', 'Kayn']","['L9 int acc', 'Sylas']","['DIABL0II', 'Kaisa']","['XwpggX', 'Amumu']",True
843,"['Minbalrum', 'Rumble']","['Mimolettus', 'Diana']","['iPewPewUQQ', 'Ryze']","['GaGå', 'MissFortune']","['ff your ego ', 'Leona']","['CoxumPiperFah', 'KSante']","['walking npc', 'Graves']","['qvjhjozow', 'Ahri']","['RudyRonaldinho', 'Kaisa']","['Zenz', 'Taric']",False
844,"['lztxdy1', 'Aatrox']","['Dr Kapman', 'Nunu']","['Yasuolefifou', 'Yone']","['Λ V Λ  M Λ X', 'Twitch']","['Samsara', 'Soraka']","['zllykS', 'Kled']","['walking npc', 'Elise']","['I am Katakuri', 'Sylas']","['Nightsorrow1', 'Tristana']","['FîreByrd', 'Yuumi']",True
845,"['VoIand', 'Gnar']","['Boggson', 'Evelynn']","['Felák z družiny', 'Ahri']","['The Pr0tagonist', 'Varus']","['GhostlyWolf', 'Bard']","['juiceslurper420', 'Mordekaiser']","['walking npc', 'LeeSin']","['Inaban3', 'Akshan']","['Machiko', 'Ezreal']","['jungäää', 'Janna']",False
846,"['MichælMastermind', 'Irelia']","['walking npc', 'Sejuani']","['Mousemices', 'Katarina']","['Aimback', 'Xayah']","['healshieldussy', 'Yuumi']","['Chuzzy', 'Jayce']","['ESE Hornet', 'LeeSin']","['CopCorn', 'TwistedFate']","['ÐΕVΙL', 'Tristana']","['25Rictus25', 'Ashe']",True
847,"['BenevolntBananas', 'Aatrox']","['reaxons', 'Khazix']","['Bestin Jucker', 'Fizz']","['SPEAR THROWER', 'Kaisa']","['Bestowing Mercy', 'Bard']","['VRΛHIL', 'KSante']","['walking npc', 'Elise']","['Weakside Wizard', 'Gragas']","['OLIVAASCOLANATOP', 'Lucian']","['Qiu Fei', 'Nami']",False
848,"['Sanchis911', 'Ornn']","['lccylt', 'Graves']","['Olof0123456', 'Veigar']","['Jambuka', 'Caitlyn']","['Bizzleberry', 'Lux']","['LPG IV', 'Fiora']","['walking npc', 'Kindred']","['þeis', 'Vex']","['Spiritual War', 'Varus']","['Galskab', 'Morgana']",False
849,"['SNZ Shykun UwU', 'Darius']","['Naito sama', 'Belveth']","['BloDeXx', 'Syndra']","['his puppy', 'Caitlyn']","['Shâdôx', 'Lux']","['MrRoken', 'Camille']","['walking npc', 'Graves']","['Big Daddy Azir', 'Azir']","['02 Supernova', 'Aphelios']","['yardable', 'Lulu']",False
850,"['Rackham Era', 'Illaoi']","['walking npc', 'JarvanIV']","['ghuzjkmk', 'Ekko']","['Easy Iove', 'Kaisa']","['LunaLacuna', 'Amumu']","['Krytiku', 'Camille']","['Cocunero', 'Viego']","['Flummi', 'Zoe']","['Pakkrt', 'Samira']","['HardÇore', 'Thresh']",True
851,"['horzain', 'Mordekaiser']","['Baadman', 'LeeSin']","['Jisai Kanemaki', 'Yasuo']","['N00M', 'KogMaw']","['º    Jésus    º', 'Lulu']","['Matterhorn', 'Aatrox']","['walking npc', 'Elise']","['AE Arcanum', 'Pantheon']","['Sandura', 'Caitlyn']","['Brakidu', 'Lux']",False
852,"['Yebrongl', 'Gangplank']","['Pâno', 'Viego']","['HelimgaRR', 'Fizz']","['Maosu', 'Samira']","['FEMDOM GODDESS', 'Soraka']","['Erest', 'Yone']","['walking npc', 'Graves']","['FreakMedP', 'Syndra']","['fRuPoppy Jr', 'Varus']","['LuknoM', 'Lulu']",True
853,"['Wayokonso', 'Aatrox']","['walking npc', 'JarvanIV']","['FízzInHerViJanna', 'Fizz']","['uvify', 'Kaisa']","['itisvik', 'Senna']","['R1 LuTTiFoX', 'Jax']","['RZN Kuronios', 'Hecarim']","['QuietFodaka', 'Sylas']","['FNC Extra', 'Ziggs']","['Liffix Master', 'Janna']",False
854,"['Reveblade', 'Pantheon']","['walking npc', 'Graves']","[' Pitaya Flavour', 'Veigar']","['HDR PŚŸKØ', 'Sivir']","['silver 2 irl', 'Soraka']","[' Agoni', 'Renekton']","['TheKurama', 'Shyvana']","['arthasic1', 'Corki']","['This is Anuar', 'Jhin']","['Mont Hias', 'Nami']",True
855,"['FEU DunQ', 'Darius']","['RaNdOmCh0', 'Kayn']","['SatanoulhS', 'Kennen']","['Im Zando', 'Lucian']","['lendar1 REFORMED', 'Bard']","['gajtan is back', 'Fiora']","['walking npc', 'LeeSin']","['TheMythicSlayer', 'Sylas']","['Master Blastr', 'Kaisa']","['Au max rebo', 'Nami']",True
856,"['easy 175', 'Yasuo']","['Lenneevel', 'Karthus']","['M4A1', 'Qiyana']","['Cassander', 'Twitch']","['walking npc', 'Leona']","['GRAVÉS IRL', 'Teemo']","['AAHAHAHAHAHAHAH', 'Ekko']","['Augury', 'Yone']","['Hanaeldasid', 'Tristana']","['971121', 'Bard']",True
857,"['Lofi Foxy', 'Ornn']","['Vengeƒul', 'Belveth']","['Usuurper', 'TwistedFate']","['Κatos', 'Kaisa']","['N y φ a s', 'Thresh']","['Violêt', 'Vayne']","['walking npc', 'Kindred']","['Urkrostitzer Udo', 'Sylas']","['xd olekron', 'Xayah']","['thjc88', 'Yuumi']",True
858,"['Hichikage Ryuken', 'Urgot']","['walking npc', 'Sejuani']","['Lyril', 'Irelia']","['Easyness', 'Kaisa']","['Wadget', 'Renata']","['Lloyd66', 'Gangplank']","['Jequtin', 'RekSai']","['KoF Osamus', 'Galio']","['IDK Serra', 'Tristana']","['Nikrium', 'Nami']",True
859,"['TOPLANE EXISTSXD', 'Camille']","['Ruža', 'LeeSin']","['WX15323515328643', 'Pantheon']","['AHNENHOLZABUSER', 'Seraphine']","['Sheermdog2', 'Brand']","['Pątrick Bateman', 'Darius']","['walking npc', 'Kindred']","['ArchiMond', 'Zed']","['FF Mimic', 'Syndra']","['Schultiz', 'Renata']",False
